str_no_string|NO STRING! 
str_npc3_kingsupport_2|我 支 持 你 ， 我 的 大 人 。 但 我 强 烈 建 议 你 恢 复 古 老 的 卡 拉 迪 亚 帝 国 传 统 — — 上 议 院 和 下 议 院 ， 从 领 地 里 的 贵 族 以 及 有 财 产 的 学 识 之 士 中 选 拔 ， 他 们 有 权 否 决 你 可 能 采 取 的 苛 税 或 暴 政 。 这 是 为 您 好 ， {先 生 /尊 敬 的 女 士 }。 
str_npc4_kingsupport_2|当 然 ， {队 长 /尊 敬 的 女 士 }。 当 下 的 良 策 是 让 别 人 拥 立 你 。 你 知 道 ， 一 个 人 的 血 统 是 他 个 人 价 值 的 决 定 性 因 素 。 也 许 你 是 遗 落 民 间 的 某 个 英 雄 之 后 ， 只 是 还 没 有 告 诉 我 ？ 
str_npc5_kingsupport_2|哎 ， 阁 下 ， 我 支 持 你 。 但 有 件 事 要 代 表 我 这 样 的 草 原 汉 子 说 。 若 你 成 为 汗 王 ， 能 恢 复 古 老 权 利 — — 自 古 以 来 草 原 人 有 权 赶 牲 群 去 新 牧 场 或 市 集 ， 且 必 然 要 穿 过 贵 族 领 地 — — 我 们 将 欣 喜 至 极 。 
str_npc6_kingsupport_2|我 支 持 。 我 会 向 所 有 人 讲 述 你 为 弱 者 而 战 的 事 迹 ， 讲 述 你 力 挽 狂 澜 获 胜 的 能 力 ， 并 且 告 诉 他 们 若 你 成 为 {国 王 /女 王 }， 卡 拉 迪 亚 将 法 律 统 一 、 和 平 遍 及 — — 从 罗 多 克 高 原 到 维 基 亚 荒 漠 ， 从 高 地 草 原 到 诺 德 海 滨 。 
str_npc7_kingsupport_2|是 ， 队 长 ， 我 支 持 。 一 个 {国 王 /女 王 }的 职 责 是 保 护 正 直 的 人 们 一 路 平 安 ， 让 女 人 能 安 心 捡 柴 、 打 水 ， 不 被 流 着 口 水 、 满 身 脓 疮 的 法 外 之 徒 骚 扰 。 何 况 你 曾 砍 爆 无 数 这 类 暴 徒 的 脑 袋 ， 若 你 成 为 {国 王 /女 王 }， 男 人 甚 至 不 敢 多 看 路 上 的 女 人 两 眼 。 
str_npc8_kingsupport_2|我 支 持 — — 但 有 个 条 件 。 你 可 在 帕 拉 汶 或 者 萨 哥 斯 或 者 任 何 其 它 你 想 统 治 的 地 方 称 王 ， 而 我 得 有 我 自 己 的 领 地 。 并 且 如 果 我 因 为 领 地 、 家 畜 或 者 血 仇 纠 纷 而 和 你 的 某 个 封 臣 发 生 矛 盾 ， 你 得 依 照 古 老 的 方 法 ， 为 我 们 安 排 一 场 决 斗 ， 用 刀 剑 说 话 ， 让 天 神 判 断 是 非 。 
str_npc9_kingsupport_2|{先 生 /女 士 }， 我 支 持 ， 别 人 也 会 支 持 。 但 是 我 在 想 — — 你 需 要 向 贵 族 展 示 你 会 维 护 他 们 的 古 老 权 利 。 现 在 ， 卡 拉 迪 亚 一 片 混 乱 — — 领 主 拥 有 领 地 ， 国 王 拥 有 森 林 ， 城 镇 拥 有 在 城 门 设 卡 收 税 的 权 力 ， 而 平 民 在 奇 数 日 的 星 期 二 才 能 使 用 牧 场 ， 还 得 除 了 里 瓦 切 格 — — 那 里 是 星 期 三 。 谁 能 记 得 住 ？ 所 以 我 建 议 你 让 事 情 简 单 化 ， 就 像 在 昔 日 那 样 — — {国 王 /君 主 }据 尊 ， 然 后 是 领 主 ， 然 后 是 其 他 人 。 
str_npc10_kingsupport_2|当 然 ， {兄 弟 /姐 们 }。 但 是 我 得 说 你 要 考 虑 一 下 我 的 一 个 想 法 。 如 果 你 成 为 {国 王 /女 王 }， 我 会 要 求 你 的 朝 廷 对 普 罗 大 众 开 放 王 庭 ， 不 要 只 是 接 见 贵 族 和 皇 族 。 请 让 大 家 知 道 ， 任 何 被 判 刑 的 人 都 有 权 直 接 向 你 上 诉 。 而 现 在 只 有 贵 族 有 这 权 利 — — 我 认 为 卡 拉 迪 亚 每 个 人 都 应 该 有 此 权 利 。 
str_npc11_kingsupport_2|当 然 ， 我 支 持 ！ 让 我 看 看 你 的 手 … … 啊 哈 ！ 你 有 “ 王 者 之 印 ”。 至 少 ， 在 我 们 帕 拉 汶 是 这 么 叫 的 。 我 在 苏 诺 听 说 这 叫 “ 皇 帝 纹 ”， 不 过 在 那 里 他 们 叫 什 么 东 西 都 和 别 人 两 样 的 。 总 之 ， 你 的 这 条 特 别 长 — — 我 要 说 你 生 来 该 统 治 ！ 这 是 你 命 中 注 定 的 ！ 其 实 我 记 得 还 有 个 相 应 的 预 言 。 嗯 ， 那 是 怎 么 说 的 来 着 … … 
str_npc12_kingsupport_2|当 然 支 持 ， 队 长 。 但 如 果 说 我 在 周 游 这 片 大 陆 时 学 到 了 点 什 么 的 话 ， 那 就 是 ： 卡 拉 迪 亚 人 死 守 前 例 。 一 切 都 要 按 古 帝 国 旧 制 办 — — 尽 管 百 人 中 难 有 一 人 读 得 懂 古 卡 拉 迪 亚 文 史 记 ！ 维 鲁 卡 商 人 按 照 “ 帝 制 ” 礼 俗 出 嫁 他 们 的 女 儿 。 里 瓦 切 格 牧 人 勾 兑 “ 帝 制 ” 黄 油 。 而 当 然 了 ， 每 个 国 王 都 应 该 参 照 “ 帝 制 ” 律 法 来 加 冕 。 
str_npc13_kingsupport_2|当 然 支 持 ， 我 的 大 人 。 而 且 ， 如 安 塔 兰 的 故 事 所 示 ， 争 夺 王 位 时 ， 若 成 为 营 火 边 吟 诵 的 史 诗 主 角 不 无 益 处 。 而 你 当 然 知 道 ， 我 自 认 善 写 对 句 ， 可 为 你 赋 诗 几 首 。 
str_npc14_kingsupport_2|我 当 然 支 持 ， 先 生 。 我 想 你 能 联 合 这 片 大 陆 ， 然 后 我 们 就 能 纠 集 一 支 在 卡 拉 迪 亚 数 载 之 内 不 会 有 所 匹 敌 的 军 队 — — 斯 瓦 迪 亚 枪 骑 兵 ， 维 基 亚 弓 箭 手 ， 罗 多 克 长 矛 手 ， 萨 兰 德 剑 手 ， 诺 德 斧 手 ， 以 及 库 吉 特 游 击 射 手 ， 带 着 他 们 翻 山 越 岭 ， 征 服 古 卡 拉 迪 亚 帝 皇 曾 统 治 的 所 有 土 地 。 
str_npc15_kingsupport_2|我 支 持 。 人 们 也 许 会 说 你 身 上 流 淌 的 不 是 皇 室 的 血 统 。 但 是 据 我 所 知 ， 皇 室 血 统 只 会 让 人 吝 啬 。 国 王 和 贵 族 随 意 借 贷 、 兴 建 工 程 ， 丝 毫 不 顾 辛 勤 劳 作 盼 着 吃 饭 的 平 民 如 何 讨 债 。 如 果 你 问 我 ， 我 会 告 诉 你 言 而 有 信 的 人 才 能 当 {国 王 /女 王 }， 而 不 应 该 是 靠 华 丽 的 血 统 。 
str_npc16_kingsupport_2|当 然 支 持 ， 我 的 {大 人 /夫 人 }。 我 想 像 我 这 样 的 女 孩 能 帮 你 赢 得 本 地 贵 族 的 支 持 。 多 年 来 我 虽 只 参 与 过 他 们 的 小 阴 谋 ， 但 我 知 道 他 们 真 正 的 意 图 。 凭 我 手 里 的 秘 密 ， 他 们 不 敢 拒 绝 我 登 门 ， 是 吧 ？ 
str_npc1_kingsupport_2a|请 继 续 说 … … 
str_npc2_kingsupport_2a|请 继 续 … … 
str_npc3_kingsupport_2a|请 继 续 … … 
str_npc4_kingsupport_2a|当 然 — — 让 我 跟 你 细 说 我 英 祖 之 事 。 
str_npc5_kingsupport_2a|请 继 续 说 … … 
str_npc6_kingsupport_2a|好 极 了 。 
str_npc7_kingsupport_2a|好 吧 ， 是 ， 我 会 尽 力 维 持 秩 序 … … 
str_npc8_kingsupport_2a|合 情 合 理 。 
str_npc9_kingsupport_2a|那 听 起 来 很 明 智 … … 
str_npc10_kingsupport_2a|当 然 — — 我 会 赋 予 臣 民 那 项 权 利 
str_npc11_kingsupport_2a|你 试 试 回 想 起 那 则 预 言 吧 。 
str_npc12_kingsupport_2a|有 趣 。 请 继 续 说 … … 
str_npc13_kingsupport_2a|哎 ，对 ， 你 肯 定 会 写 。 
str_npc14_kingsupport_2a|请 继 续 说 … … 
str_npc15_kingsupport_2a|说 得 好 ， 我 的 好 部 下 
str_npc16_kingsupport_2a|有 趣 … … 请 继 续 
str_npc1_kingsupport_2b|得 。 我 们 都 看 到 那 样 的 结 果 了 … … 
str_npc2_kingsupport_2b|我 不 希 求 他 们 的 支 持 ， 因 为 他 们 无 疑 想 从 中 谋 利 。 
str_npc3_kingsupport_2b|我 没 打 算 那 样 束 缚 自 己 。 
str_npc4_kingsupport_2b|我 不 会 参 与 其 中 。 
str_npc5_kingsupport_2b|我 说 我 想 当 {国 王 /女 王 }， 而 不 是 陷 入 什 么 游 牧 民 族 的 鸟 事 里 面 
str_npc6_kingsupport_2b|我 不 确 信 我 能 承 担 那 么 多 重 任 。 
str_npc7_kingsupport_2b|我 觉 得 你 对 国 王 治 安 的 想 法 有 点 走 极 端 了 ， 以 上 。 
str_npc8_kingsupport_2b|你 这 条 件 也 太 荒 唐 了 。 
str_npc9_kingsupport_2b|我 觉 得 这 主 意 落 实 起 来 可 没 你 想 的 那 么 “ 简 单 化 ” 。 
str_npc10_kingsupport_2b|嗯 。 让 我 回 头 再 考 虑 下 。 
str_npc11_kingsupport_2b|啊 … … 请 松 开 我 的 手 。 
str_npc12_kingsupport_2b|够 了 ， 先 生 。 我 不 允 许 你 嘲 笑 我 们 的 传 统 。 
str_npc13_kingsupport_2b|嗯 。 我 对 此 存 疑 。 
str_npc14_kingsupport_2b|事 实 上 ， 我 本 期 盼 成 为 {国 王 /女 王 }后 能 稍 作 休 息 … … 
str_npc15_kingsupport_2b|也 许 是 当 个 记 账 的 文 书 {国 王 /女 王 }吧 ， 我 听 够 了 。 
str_npc16_kingsupport_2b|无 意 冒 犯 你 ， 但 我 不 确 定 我 会 采 用 那 种 手 段 。 
str_npc1_kingsupport_3|如 果 我 能 在 这 片 大 陆 上 周 游 数 周 ， 告 诉 大 伙 们 你 将 像 老 帝 国 时 期 那 样 特 赦 他 们 的 亲 属 — — 那 么 ， 他 们 就 会 开 始 把 你 当 作 君 主 而 谈 论 ， 这 将 为 你 铺 平 登 基 之 路 。 要 我 那 么 做 吗 ， 老 大 ？
str_npc2_kingsupport_3|队 长 ， 若 你 愿 意 ， 我 可 花 几 周 拜 访 有 联 系 的 行 会 大 厅 和 商 队 聚 点 ， 告 诉 他 们 ： 有 你 做 {国 王 /统 治 者 }， 便 能 制 约 贪 婪 的 贵 族 — — 他 们 设 关 税 、 征 重 税 ， 只 为 多 攒 几 个 第 纳 尔 供 战 争 和 宴 饮 挥 霍 ， 简 直 要 扼 杀 商 贸 。 队 长 ， 你 觉 得 怎 么 样 ？
str_npc3_kingsupport_3|若 你 能 许 下 此 般 承 诺 ， {先 生 /夫 人 }， 定 能 消 解 许 多 领 主 的 犹 豫 。 若 你 的 目 标 是 恢 复 古 卡 拉 迪 亚 制 度 ， 那 么 毫 无 疑 问 ， 你 会 是 比 后 来 的 篡 位 者 都 更 正 统 的 {国 王 /统 治 者 }。 请 准 我 几 周 时 间 ， {先 生 /夫 人 }， 我 会 在 贵 族 宫 廷 和 商 人 家 中 传 播 ： 你 意 在 恢 复 他 们 的 旧 时 权 利 。 
str_npc4_kingsupport_3|对 嘛 — — 我 好 像 听 说 过 你 英 祖 的 血 脉 ，事 实 上 ， 我 能 构 想 出 {他 /她 }的 整 个 家 谱 。 “ 陛 下 ” ， 若 你 允 许 ， 未 来 几 周 我 将 遍 访 王 国 村 庄 与 堡 垒 ， 宣 扬 你 的 贵 族 出 身 。 当 然 ， 希 望 分 封 土 地 时 ， 你 能 记 得 忠 诚 的 臣 民 … … 
str_npc5_kingsupport_3|总 之 ， 大 人 ， 在 而 今 这 个 苦 难 的 时 代 ， 大 领 主 们 竟 然 封 锁 道 路 ， 征 收 巨 额 过 路 费 。 这 对 我 们 族 人 来 说 是 个 沉 重 的 负 担 ， 阁 下 。 若 我 能 花 几 周 让 草 原 汉 子 们 知 道 你 支 持 恢 复 古 老 权 利 ， 那 么 我 想 你 会 发 现 很 多 人 愿 拥 戴 你 为 汗 王 — — 而 人 们 开 始 称 你 为 汗 王 ， 便 是 登 基 的 第 一 步 。 
str_npc6_kingsupport_3|很 好 。 虽 然 我 的 家 人 已 不 认 我 ， 但 在 同 你 冒 险 之 日 我 也 随 你 出 入 过 许 多 贵 族 的 大 厅 ， 我 应 该 也 受 人 待 见 了 。 我 将 巡 游 此 地 ， 告 诉 贵 族 们 当 你 成 为 {国 王 /女 王 }， 定 会 竭 力 保 护 弱 者 、 消 弭 争 端 ， 让 任 何 人 都 不 敢 肆 意 伤 害 他 人 ， 或 许 有 朝 一 日 ， 同 室 操 戈 的 罪 恶 将 不 复 存 在 。 
str_npc7_kingsupport_3|队 长 ， 听 我 说 。 给 我 几 个 星 期 ， 我 会 去 那 些 村 庄 — — 虽 是 些 猪 圈 一 样 的 臭 茅 屋 ， 但 近 来 我 自 保 有 余 。 我 要 告 诉 那 里 的 人 们 一 旦 你 统 一 了 这 片 大 陆 ， 便 会 清 除 乱 匪 贼 党 。 你 将 沿 途 竖 满 绞 刑 架 ， 将 断 颈 不 法 之 徒 们 高 高 吊 起 ， 让 所 有 经 过 的 人 都 知 道 ： 作 恶 多 端 只 有 死 路 一 条 。 
str_npc8_kingsupport_3|好 啊 ！ 那 么 给 我 几 个 星 期 ， 我 会 走 访 各 地 宫 廷 ， 传 告 大 家 ： 你 是 尊 重 封 臣 及 其 古 老 权 利 的 {国 王 /统 治 者 }， 你 不 会 事 必 躬 亲 ， 把 王 权 伸 到 不 该 管 的 地 方 ， 卡 拉 迪 亚 会 因 此 更 好 。 
str_npc9_kingsupport_3|明 智 极 了 ， {先 生 /夫 人 }— — 我 们 能 摆 脱 那 些 讨 厌 的 令 状 、 市 民 请 愿 书 和 文 卷 ， 这 些 简 直 浪 费 你 我 时 间 ， 而 我 们 本 该 为 王 国 荣 耀 征 战 。 请 准 我 离 开 ， 我 会 向 贵 族 领 主 传 言 ： 你 来 此 是 为 恢 复 旧 制 ， 敢 打 赌 很 多 人 会 追 随 你 上 战 场 。 
str_npc10_kingsupport_3|那 么 ， {兄 弟 /姐 妹 }， 给 我 几 周 时 间 巡 游 此 地 ， 让 老 百 姓 们 知 道 你 将 平 等 治 国 、 伸 张 正 义 ， 领 主 犯 法 与 庶 民 同 罪 。 人 们 会 把 你 当 作 {国 王 /女 王 }来 谈 论 ， 而 那 就 将 是 你 称 孤 之 路 的 良 好 开 端 … … 
str_npc11_kingsupport_3|现 在 记 不 全 了 ， 但 若 你 让 我 回 家 乡 ， 定 能 找 到 一 位 老 者 ， 他 完 全 记 得 那 预 言 。 而 且 ， 我 能 散 布 消 息 ： 你 手 上 有 王 者 之 印 ！ 我 的 故 乡 有 很 多 人 在 等 待 一 位 公 正 的 统 治 者 ， 而 一 个 人 的 手 相 便 能 说 明 他 的 一 切 。 给 我 几 个 星 期 ， 保 证 许 多 人 会 期 待 你 成 为 下 一 任 {国 王 /女 王 }。 
str_npc12_kingsupport_3|但 是 你 知 道 吗 ？关 于 王 冠 ， 从 来 没 有 所 谓 的 “ 帝 制 ” 法 规 。 有 时 皇 帝 传 位 给 子 嗣 ， 有 时 分 给 将 领 ， 有 时 新 皇 谋 杀 旧 皇 篡 位 。 卡 拉 迪 亚 从 无 “ 合 法 ” 的 加 冕 之 道 ， 所 以 王 冠 自 然 应 属 于 最 适 合 统 治 的 人 — — 当 然 就 是 你 。 给 我 几 周 时 间 ， 我 会 写 一 篇 论 文 证 明 这 点 ， 再 找 人 抄 写 贴 满 每 一 个 城 镇 的 酒 馆 里 。 队 长 ， 这 主 意 怎 么 样 ？ 
str_npc13_kingsupport_3|那 么 让 我 离 开 几 个 星 期 ， 尊 贵 的 大 人 ，我 会 编 一 个 连 最 愚 钝 的 心 灵 都 会 感 动 的 故 事 ， 让 人 钦 佩 你 的 德 行 ， 同 情 你 的 艰 辛 ， 愤 慨 于 阻 碍 你 的 人 。 当 然 了 ， 当 然 ， 我 可 以 在 细 节 上 稍 作 诗 意 发 挥 吧 ？ 
str_npc14_kingsupport_3|让 我 离 开 几 个 星 期 ， {先 生 /夫 人 }， 我 会 让 这 片 土 地 上 所 有 贤 能 之 士 知 道 ： 你 不 仅 仅 会 完 成 统 一 卡 拉 迪 亚 的 大 业 ， 还 会 平 定 卡 拉 迪 亚 之 外 的 其 他 版 图 。 在 我 看 来 ， 若 无 统 治 全 境 的 能 力 ， 便 无 权 成 为 这 里 的 {国 王 /女 王 }— — 而 唯 独 你 展 现 了 这 种 能 力 。 
str_npc15_kingsupport_3|我 很 高 兴 你 这 么 想 。 说 一 下 我 的 建 议 ： 我 认 识 这 儿 行 会 里 的 人 ， 像 我 一 样 被 压 榨 欺 负 得 忍 无 可 忍 的 人 。 我 会 告 诉 他 们 ： 你 为 人 诚 实 ， 尊 重 市 民 ， 会 偿 还 债 务 ， 不 会 让 臣 民 破 产 沦 为 乞 丐 。 
str_npc16_kingsupport_3|让 我 离 开 几 个 星 期 ， 我 会 拜 访 前 雇 主 的 堡 垒 。 我 会 给 他 们 唱 唱 你 当 上 {国 王 /女 王 }会 如 何 作 为 的 赞 歌 ， 讲 述 你 将 恢 复 所 有 旧 时 的 传 统 特 权 — — 让 他 们 照 旧 掠 夺 佃 户 、 征 税 商 人 、 发 动 战 争 、 挥 霍 无 度 ， 像 贵 族 该 做 的 那 样 ！ 队 长 ， 你 觉 得 如 何 ？ 
str_npc1_kingsupport_objection|老 大 — — 你 竟 然 允 许 阿 莱 因 离 队 去 告 诉 那 些 贵 族 们 他 们 将 获 得 牧 场 、 市 场 和 林 场 的 权 利 ？ 我 不 赞 成 那 样 。我 实 在 不 认 同 。 随 他 这 么 做 ， 他 会 在 全 地 每 个 村 庄 竖 起 绞 架 ， 像 我 这 样 想 拿 起 弓 去 林 中 打 点 野 味 贴 补 家 用 的 穷 苦 人 ， 恐 怕 就 要 被 吊 在 上 面 了 。 
str_npc2_kingsupport_objection|嗯 ， 队 长 。 玛 蒂 尔 德 已 经 骑 着 马 去 告 诉 领 主 们 你 会 允 许 他 们 用 暴 力 解 决 争 端 。 你 知 道 他 们 其 实 很 少 真 刀 真 枪 打 架 吧 ？ 大 多 数 时 候 ， 倒 霉 的 总 是 堡 垒 之 间 路 上 的 商 人 和 旅 客 ， 他 们 其 实 常 借 小 纠 纷 敲 诈 商 队 。 我 真 心 希 望 她 应 该 是 误 解 了 你 的 意 思 ， 先 生 。 
str_npc3_kingsupport_objection|队 长 — — 德 莎 维 已 经 动 身 展 开 某 种 “ 征 途 ” ， 据 说 是 你 许 可 的 。 她 说 她 要 去 这 片 大 陆 上 的 那 些 村 庄 ， 告 诉 那 些 可 怜 的 村 民 们 一 旦 你 成 为 国 王 ， 你 打 算 绞 死 所 有 的 小 偷 和 强 盗 。 {先 生 /夫 人 }， 我 是 一 个 商 人 的 女 儿 ， 深 知 匪 盗 的 祸 害 ， 也 知 德 莎 维 曾 遭 巨 大 冤 屈 。 但 你 肯 定 不 会 不 分 青 红 皂 白 把 人 全 部 绞 死 吧 ？ 你 的 王 国 里 总 该 有 宽 恕 的 容 地 。 
str_npc4_kingsupport_objection|队 长 ， 阿 提 曼 纳 已 经 出 发 ， 去 向 市 民 们 宣 传 “ 你 之 所 以 竞 逐 王 位 ， 是 因 为 你 懂 得 如 何 请 算 账 本 ”。 恕 我 直 言 ， 这 太 荒 唐 了 。 贵 族 和 国 王 应 该 做 的 ， 是 征 战 和 裁 决 。 若 要 跟 每 个 在 领 地 干 过 活 的 流 浪 汉 对 其 工 钱 讨 价 还 价 ， 那 么 除 了 闹 得 一 地 鸡 毛 ， 你 什 么 都 不 会 得 到 的 。 
str_npc5_kingsupport_objection|{playername}阁 下 — — 我 无 意 中 听 到 了 你 跟 雅 米 拉 说 的 话 。 不 过 我 在 纳 闷 — — 若 让 务 农 的 领 主 和 经 商 的 富 贾 决 定 税 率 ， 谁 会 成 为 被 征 税 的 对 象 ？ 当 然 是 牧 民 — — 我 的 那 些 族 人 ， 生 活 在 草 原 上 的 游 牧 民 族 。 我 绝 不 认 同 这 些 议 会 ， 阁 下 — — 所 有 自 由 人 都 应 在 汗 王 的 统 治 下 团 结 一 致 ， 此 外 别 无 他 法 。 
str_npc6_kingsupport_objection|听 说 你 派 罗 尓 夫 伪 造 了 一 份 关 于 皇 室 血 统 的 声 明 。 我 必 须 提 醒 你 ， {先 生 /夫 人 }— — 靠 欺 诈 夺 取 王 位 ， 天 神 可 不 会 庇 佑 你 的 。 
str_npc7_kingsupport_objection|我 已 经 听 说 了 你 跟 班 达 克 讲 的 ， 要 赋 予 每 个 普 通 犯 人 向 {国 王 /统 治 者 }上 诉 权 利 的 事 情 。 我 无 法 赞 同 。 强 盗 被 抓 到 之 后 应 该 被 绞 死 。 如 果 给 了 他 们 审 判 和 申 诉 的 机 会 ， 他 们 只 会 狡 辩 脱 罪 。 班 达 克 是 个 好 人 ， 但 没 人 能 完 全 明 白 这 些 人 面 兽 心 之 徒 对 女 人 施 下 的 暴 行 。 
str_npc8_kingsupport_objection|队 长 — — 你 已 经 派 费 伦 提 斯 去 知 会 大 陆 上 的 所 有 领 主 ， 说 你 要 强 行 推 行 和 平 ， 以 后 没 有 人 会 因 为 分 歧 而 刀 兵 相 向 。 然 后 ，难 道 要 我 们 躺 在 床 上 等 死 吗 ？ 在 我 的 民 族 看 来 ， 这 实 在 是 太 丢 人 了 。 一 个 {国 王 /元 帅 }的 职 责 是 率 领 我 们 征 战 ， 而 不 是 教 人 如 何 处 理 争 论 和 分 歧 。 
str_npc9_kingsupport_objection|{先 生 /夫 人 }— — 我 很 遗 憾 ， 听 说 你 已 经 让 巴 赫 什 图 尔 告 诉 他 的 族 人 们 ， 允 许 他 们 赶 牲 群 穿 过 贵 族 领 地 。 真 希 望 是 我 听 错 了 ， 队 长 。 我 们 收 的 那 点 过 路 费 ， 远 远 抵 不 过 他 们 对 我 们 牧 群 的 破 坏 以 及 对 水 源 的 污 染 。 尊 敬 的 {阁 下 /女 士 }， 如 果 你 未 来 的 王 国 将 变 成 一 些 游 牧 民 族 的 天 堂 的 话 ， 至 少 我 个 人 绝 不 希 望 如 此 。 
str_npc10_kingsupport_objection|听 说 你 让 尼 扎 尔 编 写 一 些 诗 歌 ， 来 证 明 你 取 得 王 位 的 正 统 性 。 请 恕 我 不 能 苟 同 。 如 果 人 们 愿 意 为 一 位 {国 王 /元 帅 }而 战 ， 那 一 定 是 因 为 他 们 能 从 中 得 到 实 惠 ， 而 非 爱 上 什 么 傻 乎 乎 的 歌 谣 。 
str_npc11_kingsupport_objection|我 听 说 雷 萨 里 特 告 诉 民 众 ， 你 将 成 为 一 位 {国 王 /女 王 }， 然 后 率 军 翻 山 征 战 。 难 道 这 些 战 争 不 该 有 个 终 结 吗 ， {年 轻 人 /小 姑 娘 }？ 我 曾 经 以 为 ， 如 果 你 当 了 {国 王 /女 王 }， 说 不 定 能 给 大 家 带 来 一 点 和 平 。 不 过 现 在 看 来 ， 上 天 注 定 要 卡 拉 迪 亚 血 流 成 河 ， 尸 骨 如 山 ， 让 谁 也 逃 不 过 一 场 骨 断 筋 折 。 
str_npc12_kingsupport_objection|队 长 ， 听 说 你 多 少 有 些 把 克 雷 茜 担 任 贵 族 使 节 的 意 思 。 这 个 是 非 不 明 的 小 姑 娘 会 以 你 的 名 义 许 下 何 等 承 诺 ， 还 把 那 些 纵 容 之 举 美 其 名 曰 “ 昔 日 的 自 由 ”， 一 想 到 这 儿 我 就 不 寒 而 栗 。 你 这 么 做 ， 是 在 嘲 笑 我 们 这 些 期 盼 你 带 卡 拉 迪 亚 告 别 血 腥 过 去 ， 走 向 祥 和 安 定 、 学 术 繁 荣 新 时 代 的 人 。 够 了 ， 对 于 我 心 目 中 的 和 平 ， 我 已 经 说 得 够 多 了 。 
str_npc13_kingsupport_objection|英 勇 的 主 人 — — 我 听 说 你 准 许 杰 偌 穆 斯 编 写 一 些 尖 刻 论 文 ， 来 暗 中 贬 损 这 个 大 陆 的 人 民 所 珍 视 的 一 切 ， 控 诉 古 代 皇 帝 谋 杀 篡 位 。 队 长 — — 作 为 一 个 诗 人 ， 我 明 白 ， 人 民 必 须 得 有 可 以 崇 拜 的 英 雄 ， 有 可 以 指 望 复 兴 的 盛 世 。 不 过 ， 你 愿 意 创 造 一 个 由 犬 儒 和 学 究 来 决 定 我 们 的 信 仰 的 王 国 吗 ？ 我 找 不 出 比 这 更 蠢 的 事 情 了 。 
str_npc14_kingsupport_objection|我 听 说 ， 你 已 经 派 波 尔 查 向 整 个 卡 拉 迪 亚 宣 告 ， 当 你 即 位 之 时 ， 将 赦 免 所 有 的 罪 犯 。 这 简 直 太 可 耻 了 … … 人 民 必 须 接 受 管 理 ， {先 生 /夫 人 }— — 如 有 必 要 ， 你 还 得 用 上 鞭 子 、 镣 铐 和 绞 索 ， 绝 不 能 手 软 。 我 保 证 ， 在 你 当 上 {国 王 /女 王 }， 迟 早 会 吃 苦 头 ， 我 敢 打 赌 。 
str_npc15_kingsupport_objection|听 说 你 允 许 凯 特 琳 去 散 布 你 手 上 有 神 圣 印 记 的 谶 语 。 我 只 想 说 ， 作 为 一 个 受 过 教 育 的 人 ， 我 很 担 心 你 是 不 是 要 靠 老 妇 人 的 迷 信 来 支 持 你 竞 逐 王 位 。 乡 下 的 女 人 们 朝 三 暮 四 ， 今 天 信 这 个 ， 明 天 又 信 那 个 。 如 今 ， 皇 家 大 学 里 体 面 的 星 象 家 算 出 的 星 盘 ， 才 能 告 诉 你 有 价 值 的 预 言 ， 只 是 卡 拉 迪 亚 已 久 未 有 此 等 正 统 预 测 了 。 
str_npc16_kingsupport_objection|唉 — — 队 长 ！ 我 听 说 马 尼 德 离 队 去 向 那 些 商 人 大 唱 甜 言 蜜 语 的 赞 歌 ， 说 你 会 把 卡 拉 迪 亚 奉 上 银 盘 供 他 们 享 用 ， 让 他 们 在 上 面 大 块 朵 颐 ， 敲 膏 吸 髓 。 我 希 望 那 只 是 夸 张 之 辞 。 一 个 高 尚 的 领 主 在 举 办 宴 会 的 时 候 起 码 会 给 穷 人 施 舍 两 个 铜 板 ， 也 会 让 他 的 仆 人 们 吃 饱 了 肚 子 再 回 家 。 一 个 商 人 给 他 的 女 儿 举 办 婚 宴 时 ， 你 在 饭 桌 上 找 到 一 点 残 羹 剩 饭 算 是 你 走 运 。 反 正 我 亲 身 经 历 过 。 
str_npc1_intel_mission|好 吧 ， 老 大 ， 我 碰 巧 有 几 个 表 戚 在 {s17}, 不 像 家 里 其 他 人 ， 他 们 至 少 愿 意 见 我 。 他 们 作 马 匹 生 意 — — 我 偶 尔 也 给 他 们 提 供 货 源 — — 这 样 他 们 就 可 以 打 探 一 些 关 于 {s18}城 堡 的 消 息 。 我 可 以 去 走 一 趟 ， 然 后 回 来 告 诉 你 我 发 现 了 什 么 。 
str_npc2_intel_mission|{大 人 /尊 敬 的 女 士 }， 如 果 你 对 发 生 在 {s18}的 事 情 感 兴 趣 ， 我 可 以 和 我 在 {s17}的 旧 生 意 伙 伴 联 系 。 他 们 通 常 在 政 治 方 面 消 息 灵 通 。 
str_npc3_intel_mission|队 长 ， 虽 然 我 不 能 够 回 到 我 在 {s17}的 老 家 ， 但 我 还 是 可 以 和 我 的 姐 姐 联 系 。 她 能 参 与 大 商 行 的 会 议 ， 或 许 可 以 告 诉 我 们 一 些 关 于 {s18}的 情 况 。 
