qstr_Next_Page|下 一 页 
qstr_Though_the_distincti|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 贵 族 男 子， 整 个 世 界 仿 佛 因 你 而 改 变 。 作 为 一 个 上 层 贵 族 的 指 定 护 卫 ， 你 长 时 间 的 练 习 各 种 武 器 ， 学 习 如 何 出 击 和 招 架 。 被 教 导 要 对 主 人 效 忠 ， 以 及 对 那 些 将 来 可 能 成 为 你 属 下 的 人 负 责 。 但 除 了 骑 士 精 神 ， 你 也 领 略 到 现 实 的 阴 暗 面 —— 残 忍 的 强 权 政 治 ， 背 叛 和 篡 夺 ， 以 及 为 了 目 的 不 择 手 段 而 使 用 的 诡 计 与 勇 猛  。 
qstr_{reg3?woman:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distinctio|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 贵 族 女 郎 ， 整 个 世 界 仿 佛 因 你 而 改 变 。 你 进 入 了 上 层 女 士 的 紧 密 圈 子 ， 她 们 做 着 符 合 贵 族 女 性 身 份 的 事 ， 有 贵 族 的 妻 妾 ， 也 有 待 嫁 的 少 女 。 然 而 即 便 在 这 里 ， 政 治 角 逐 也 无 处 不 在 — — 夫 人 小 姐 们 为 博 得 宠 爱 勾 心 斗 角 ， 拼 命 争 取 宫 中 炙 手 可 热 的 单 身 贵 族 的 青 睐 。 你 很 快 学 会 利 用 这 些 局 面 为 自 己 谋 利 ， 并 意 识 到 只 要 稍 施 心 计 ， 自 己 便 能 在 这 个 世 界 上 掌 握 巨 大 的 影 响 力 。 
qstr_Though_the_distinction|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 游 吟 诗 人 ， 整 个 世 界 仿 佛 因 你 而 改 变 。 你 只 身 出 发 ， 身 上 仅 有 一 件 乐 器 和 自 信 的 歌 声 。 生 活 贫 苦 ， 许 多 夜 晚 忍 饥 挨 饿 ， 人 们 不 懂 欣 赏 你 的 演 奏 ， 但 你 仅 靠 音 乐 便 活 了 下 来 。 岁 月 流 转 ， 你 精 于 在 酒 馆 里 为 醉 客 演 奏 ， 更 善 于 说 服 别 人 给 你 想 要 的 东 西 。 
qstr_Though_the_distinction_|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 学 子， 整 个 世 界 仿 佛 因 你 而 改 变 。 作 为 一 个 大 城 市 里 的 学 生 ， 你 就 读 于 某 大 城 市 的 大 学 ， 研 习 神 学 、 哲 学 和 医 学 。 但 并 非 所 有 知 识 都 来 自 讲 堂 。 你 或 许 曾 与 同 学 们 逛 街 巷 、 寻 酒 色 、 斗 殴 ， 但 你 确 实 学 会 了 如 何 接 骨 ， 以 及 如 何 劝 服 愤 怒 的 市 民 放 下 棍 棒 ， 接 受 店 铺 被 毁 的 现 金 赔 偿 。 
qstr_Though_the_distinction_f|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 小 贩 ， 整 个 世 界 仿 佛 因 你 而 改 变 。 你 听 从 远 方 的 召 唤 走 村 串 巷 ， 尽 力 经 营 买 卖 。 那 一 段 并 不 富 裕 的 生 活 ， 让 你 逐 渐 成 长 为 讲 价 的 能 手 ， 即 使 最 吝 啬 的 老 前 辈 也 能 给 你 一 个 好 价 钱 。 你 知 道 ， 不 久 你 将 开 始 发 展 自 己 的 贸 易 帝 国 … … 
qstr_Though_the_distinction_fe|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 匠 人 ， 整 个 世 界 仿 佛 因 你 而 改 变 。 你 以 冶 铁 为 业 ， 将 普 通 的 金 属 打 造 成 实 用 而 美 丽 的 器 物 。 随 着 时 间 流 逝 ， 你 成 为 行 业 里 的 能 工 巧 匠 ， 精 工 作 品 售 价 颇 高 。 温 饱 无 忧 ， 你 为 自 己 的 手 艺 和 日 渐 隆 盛 的 名 声 而 自 豪 。 
qstr_Though_the_distinction_fel|虽 然 这 个 转 变 让 你 感 觉 突 然 ， 但 在 某 个 时 刻 ， 你 意 识 到 自 己 已 长 大 成 为 猎 人 ， 整 个 世 界 仿 佛 因 你 而 改 变 。 厌 倦 了 平 民 为 金 钱 奔 波 ， 你 走 进 领 主 的 森 林 ， 决 定 自 取 丰 收 ， 不 顾 法 律 约 束 。 你 打 猎 鹿 、 猪 、 鹅 ， 私 卖 珍 贵 的 肉 食 ； 在 警 卫 的 眼 皮 底 下 砍 树 ， 劈 成 木 柴 ， 让 许 多 家 庭 在 冬 日 获 得 温 暖 。 当 然 ， 这 一 切 都 是 为 了 几 枚 银 币 。 
qstr_Only_you_know_exactl|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 因 为 心 中 熊 熊 燃 烧 的 怒 火 ， 决 定 离 开 并 不 艰 难 。 你 要 复 仇 ， 你 要 正 义 ， 对 你 所 作 的 一 切 都 不 能 饶 恕 ， 所 有 的 债 只 能 用 鲜 血 来 偿 还 … … 
qstr_Only_you_know_exactly|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 只 能 说 ， 你 再 也 无 法 留 下 ， 因 为 对 至 亲 的 回 忆 太 近 、 太 痛 。 也 许 新 生 活 能 让 你 忘 却 ， 或 让 你 为 再 也 无 法 唤 出 的 名 字 致 敬 … … 
qstr_Only_you_know_exactly_|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 不 确 定 从 何 时 起 ， 家 园 变 成 了 监 狱 ， 亲 人 也 变 得 陌 生 ， 只 有 流 浪 占 据 了 你 的 世 界 。 不 管 是 向 往 遥 远 的 乐 土 还 是 仅 仅 路 上 的 自 由 ， 你 再 也 无 法 忍 受 驻 足 原 地 。 你 径 自 离 去 ， 再 未 回 头 … … 
qstr_Only_you_know_exactly_w|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 但 你 知 道 无 法 回 头 ， 也 无 处 可 回 。 曾 经 的 家 园 已 经 烟 消 云 散 ， 你 必 须 面 对 现 实 — — 大 千 世 界 ， 自 负 沉 浮 … … 
qstr_Only_you_know_exactly_wh|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 在 别 人 眼 里 ， 你 显 然 只 为 私 利 而 行 。 你 想 富 有 、 强 大 、 受 人 尊 敬 、 令 人 畏 惧 、 让 人 顺 从 。 你 想 让 人 们 都 知 道 你 的 名 字 ， 并 且 无 论 何 时 听 到 它 就 发 抖 。 你 想 要 每 一 样 东 西 ， 并 且 不 会 让 任 何 人 阻 止 你 得 到 它 … … 
qstr_Back_to_the_beginnin|退 回 开 始 … … 
qstr_View_next_segment...|查 看 下 节 … … 
qstr_^No_food:___{reg7}|^ 没 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 资 ： -{reg6}
qstr_On_loan|暂 借 ， 
qstr_Appoint_next_marshal|委 任 下 一 任 元 帅 
qstr_Award_{s12}_as_fief|把 {s12}作 为 封 地 授 予 
qstr_No_one|没 有 人 
qstr_Selected_faction_is:|选 择 的 集 团 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 阅 读 {s8}。 
qstr_You_are_not_reading_|你 没 有 在 读 任 何 书 籍 。 
qstr_none|无 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8}。 ^{s9}
qstr_Current_party_size_l|当 前 的 部 队 上 限 为 {reg5}^ 当 前 部 队 上 限 的 修 正 为 ： ^^ 因 基 础 人 数 ： +30^ 因 玩 家 统 御 ： {s2}{reg1}^ 因 玩 家 魅 力 ： {s3}{reg2}^ 因 玩 家 声 望 ： {s4}{reg3}^ 总 计 ： {reg5}
qstr_Your_relation_with_t|你 与 各 个 阵 营 的 关 系 为 ： ^{s2}
qstr_Player_renown_is_inc|玩 家 声 望 上 升 100 点 。 
qstr_Player_honor_is_incr|玩 家 荣 誉 值 增 加 一 点 现 在 是 {reg7}。 
qstr_{reg1}_{s1}_{reg2?ac|{reg1}个 {s1}{reg2?接 受 :接 受 }你 的 提 议 。 
qstr_No_one_accepts_the_o|没 人 接 受 你 的 提 议 。 
qstr_You_start_reading_{s|你 开 始 读 {s2}。 你 决 定 把 它 带 在 身 边 ， 任 何 有 空 的 时 候 就 读 几 页 。 
qstr_You_flip_through_the|你 翻 着 {s2}， 但 你 发 现 里 面 的 内 容 很 难 理 解 。 看 了 几 页 后 ， 你 感 觉 到 头 很 痛 ， 然 后 放 弃 阅 读 了 。 
qstr_Villagers|村 民 们 
qstr_You_have_encountered|你 遇 到 {s1}了 。 
qstr_You_have_engaged_{s1|你 与 {s1}开 战 了 ， 他 们 曾 经 袭 击 过 {s3}。 
qstr_You_were_caught_by_{|当 你 带 着 部 下 在 {s3}掠 夺 的 时 候 ， 被 {s1}撞 见 了 。 
qstr_You_were_victorious!|你 获 胜 了 ！ 
qstr_Battle_was_lost._You|你 战 败 了 。 你 的 队 伍 被 彻 底 摧 毁 了 。 
qstr_Your_companions_carr|你 的 同 伴 把 你 从 战 场 上 运 了 出 来 。 
qstr_You_have_defeated_th|你 击 败 了 敌 人 。 
qstr_You_have_retreated_f|你 撤 离 了 战 场 。 
qstr_^^Ally_Casualties:{s|^^ 友 军 伤 亡 ： {s0}
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}设 法 逃 离 。 
qstr_Some_of_your_tendons|战 斗 中 你 的 筋 腱 受 损 ， 你 失 去 1点 力 量 。 
qstr_You_took_a_nasty_wou|你 负 了 一 处 严 重 伤 势 ， 即 便 痊 愈 后 也 会 轻 微 跛 行 。 你 失 去 了 一 点 敏 捷 值 。 
qstr_You_have_trouble_thi|战 后 你 思 维 难 以 集 中 ， 或 因 头 部 受 到 猛 击 ， 频 繁 头 痛 缠 身 。 你 的 智 力 下 降 1点 。 
qstr_Perhaps_I_m_getting_|也 许 我 近 来 运 气 不 佳 … … 
qstr_Retirement_is_starti|退 隐 生 活 听 起 来 变 得 越 来 越 动 听 。 
qstr_No_matter!_I_will_pe|无 妨 ！ 我 必 然 坚 持 到 底 ！ 
qstr_What_did_I_do_to_des|我 何 故 遭 此 劫 难 ？ 
qstr_I_suppose_it_ll_make|至 少 这 能 成 为 一 个 不 错 的 故 事 … … 
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 追 随 他 的 军 队 ， 听 候 进 一 步 命 令 。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr__Your_own_banner_fli|堡 垒 城 门 上 飘 扬 着 你 的 旗 帜 。 
qstr__You_see_the_banner_|你 看 见 堡 垒 城 门 上 飘 扬 着 {s7}的 旗 帜 。 
qstr__Your_own_banner_flie|城 镇 城 门 上 飘 扬 着 你 的 旗 帜 。 
qstr__You_see_the_banner_o|你 看 见 城 镇 城 门 上 飘 扬 着 {s7}的 旗 帜 。 
qstr_The_{reg6?town_s:cas|{reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 的 存 粮 能 够 维 持 {reg3}天 ({reg7}/{reg8})。 
qstr_The_{reg6?town_s:cast|{reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 已 经 没 有 存 粮 了 ， 守 城 人 员 忍 饥 挨 饿 。 
qstr_You_re_preparing_to_|你 正 准 备 攻 击 围 墙 ， 需 要 {reg9}小 时 的 时 间 准 备 。 
qstr_Your_forces_are_buil|你 的 部 队 正 在 制 造 攻 城 塔 ， 需 要 {reg9}小 时 完 成 。 
qstr_You_are_ready_to_att|你 准 备 好 随 时 攻 击 围 墙 了 。 
qstr_The_siege_tower_is_b|攻 城 塔 造 好 了 ， 现 正 等 待 进 攻 命 令 。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 厅 里 进 行 最 后 的 防 御 。 你 和 你 手 下 残 余 的 士 兵 将 准 备 在 这 里 接 受 一 场 恶 战 。 如 果 你 战 败 了 ， 你 就 无 路 可 退 了 。 
qstr_You_ve_been_driven_a|你 被 敌 人 从 城 墙 上 面 赶 下 去 了 ， 现 在 敌 人 大 量 涌 入 街 道 内 。 如 果 你 能 击 败 他 们 ， 你 也 许 能 扭 转 局 势 ， 反 败 为 胜 。 
qstr_You_ve_breached_the_|你 已 经 突 破 了 城 墙 ， 但 是 那 些 顽 固 的 守 卫 者 继 续 在 街 道 上 抵 抗 你 的 攻 击 ！ 你 得 消 灭 他 们 才 能 攻 击 城 镇 中 心 的 城 堡 。 
qstr_The_town_centre_is_y|这 个 城 镇 的 镇 广 场 是 你 的 了 ， 但 是 剩 下 的 守 卫 者 撤 退 到 城 堡 里 了 。 你 要 完 全 消 灭 他 们 才 能 取 得 完 全 的 胜 利 。 
qstr_The_remaining_defend|剩 下 的 守 卫 撤 退 到 城 堡 这 个 最 后 的 防 线 。 你 必 须 冲 进 去 清 除 剩 余 的 抵 抗 力 量 。 
qstr_However_since_you_ar|然 而 ， 自 从 你 放 弃 向 {s9}发 的 誓 言 。 他 是 绝 对 不 会 承 认 你 是 这 个 {reg8?城 镇 :城 堡 }的 {领 主 /领 主 }。 
qstr_The_enemy_has_been_f|敌 人 被 迫 撤 退 了 。 进 攻 停 止 了 ， 但 是 围 城 还 在 继 续 。 
qstr_As_you_approach_you_|当 你 走 近 城 堡 ， 你 被 守 卫 发 现 了 ， 他 们 打 开 了 大 门 欢 迎 他 们 的 {国 王 /女 王 }。 
qstr_As_you_approach_you_a|当 你 走 近 城 堡 ， 你 被 守 卫 发 现 了 ， 他 们 打 开 了 大 门 欢 迎 他 们 的 {领 主 /夫 人 }。 
qstr__This_village_and_th|这 个 村 子 及 周 围 的 土 地 属 于 你 。 
qstr__You_remember_that_t|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 {s7}。 
qstr__These_lands_belong_|这 些 土 地 不 属 于 任 何 人 。 
qstr__The_village_is_infe|这 个 村 子 受 到 {reg8}个 {s35}肆 虐 。 
qstr__The_village_has_bee|这 个 村 庄 受 到 了 掠 夺 ， 当 你 经 过 那 些 烧 毁 的 房 屋 时 ， 无 数 冤 魂 四 散 而 去 。 
qstr__The_village_is_bein|村 庄 已 遭 到 袭 击 。 
qstr_No_one_here_seems_to|这 里 好 像 没 有 人 想 加 入 你 的 部 队 。 
qstr_One_{s3}_volunteers_|1名 {s3}的 志 愿 者 追 随 你 。 
qstr_{reg5}_{s3}_voluntee|{reg5}名 {s3}的 志 愿 者 追 随 你 。 
qstr_Try_as_you_might_you|虽 尽 力 而 战 ， 仍 未 击 败 盗 匪 。 他 们 愤 怒 地 将 村 庄 夷 为 平 地 以 惩 罚 农 民 ， 随 后 离 开 这 片 焚 烧 的 废 墟 ， 寻 找 下 一 个 掠 夺 目 标 。 
qstr_village|村 子 
qstr_town|城 镇 
qstr_castle|城 堡 
qstr_The_{s17}_has_no_imp|{s17}没 有 升 级 的 设 施 。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 升 级 的 设 施 ： {s18}。 
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒 ， 任 你 濒 死 于 地 … … 
qstr_You_have_fallen._The|你 倒 下 了 。 强 盗 们 迅 速 从 你 的 身 上 搜 刮 钱 财 ， 然 后 消 失 在 夜 幕 中 。 他 们 留 下 了 你 的 性 命 ， 仅 此 而 已  。 
qstr_Luckily_some_of_your|很 幸 运 的 是 ， 你 的 一 些 同 伴 发 现 你 没 有 回 来 就 出 来 寻 找 你 ， 并 且 发 现 你 躺 在 路 边 。 他 们 急 忙 把 你 抬 带 安 全 的 地 方 并 为 你 包 扎 伤 口 。 
qstr_Luckily_some_passing|很 幸 运 的 是 ， 一 些 路 过 的 镇 民 发 现 你 躺 在 路 边 上 ， 他 们 差 点 就 把 你 当 成 乞 丐 了 。 他 们 把 你 抬 到 最 近 的 旅 馆 里 并 为 你 包 扎 伤 口 。 
qstr_You_fail_to_steal_an|你 没 能 偷 到 一 头 牛 。 
qstr_You_drive_away_{reg1|你 从 村 子 的 牛 栏 里 赶 走 了 {reg17}{reg12?头 :头 }牛 。 
qstr_You_are_at_{s2}.|你 在 {s2}。 
qstr__This_castle_has_no_|这 座 城 堡 没 有 驻 军 。 
qstr__This_town_has_no_ga|这 座 城 镇 没 有 驻 军 。 
qstr__You_have_successful|你 成 功 潜 入 了 。 
qstr_{s13}_A_tournament_w|{s13}一 场 比 赛 马 上 要 开 始 了 。 
qstr__Join_the_tournament|（ 加 入 竞 技 大 会 ） 
qstr___{reg1}_denars_per_|（ 每 晚 {reg1}第 纳 尔 ） 
qstr_{s0}:{reg0}|{s0}:{reg0}{***}
qstr_Moreover_you_earn_{r|此 外 ， 你 聪 明 地 往 自 己 身 上 押 注 ， 赢 得 了 {reg8}第 纳 尔 。 
qstr_Victory_is_yours!_Yo|你 赢 了 ！ 你 在 这 场 混 战 中 获 胜 了 ， 但 是 你 得 准 备 好 进 入 下 一 轮 比 赛 。 
qstr_You_have_been_bested|你 在 混 战 中 被 打 败 了 ， 但 是 竞 技 场 老 板 相 当 认 可 你 的 技 艺 和 勇 气 ， 允 许 你 进 入 下 一 轮 比 赛 。 
qstr_You_were_beaten._The|你 被 打 败 了 ， 这 些 农 民 因 胜 利 而 振 奋 ， 但 你 想 传 授 的 教 训 恐 怕 没 有 达 成 … … 
qstr_After_beating_your_l|在 你 击 倒 最 后 一 个 对 手 后 ， 你 向 这 些 农 民 解 释 怎 样 更 好 地 防 御 此 类 袭 击 。 希 望 他 们 能 接 受 这 些 经 验 ， 为 下 一 次 做 好 准 备 。 
qstr_The_bandits_are_brok|盗 匪 溃 败 了 ！ 少 数 存 活 者 夹 着 尾 巴 逃 跑 ， 畏 惧 农 民 和 他 们 的 新 教 官 。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_However_{reg3?You_ar|不 过 ， {reg3?你 :{s1}}不 能 找 到 任 何 能 够 给 你 带 来 利 润 的 商 品 。 
qstr_^Buying_{s4}_here_an|^ 在 这 里 购 买 {s4}然 后 卖 到 {s5}去 ， 将 会 获 得 每 件 商 品 {reg6}第 纳 尔 的 利 润 。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 下 列 物 品 ： ^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}个 {s1}获 得 {reg0}点 经 验 。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}获 得 了 {reg0}点 额 外 的 经 验 。 
qstr_^You_earned_{reg0}_e|^ 你 获 得 了 {reg0}点 经 验 。 {s2}
qstr_The_training_didn_t_|训 练 进 行 得 很 糟 糕 。 
qstr_The_training_didn_t_g|训 练 进 行 得 不 太 好 。 
qstr_The_training_went_qu|训 练 进 行 得 很 好 。 
qstr_The_training_went_ve|训 练 进 行 得 非 常 好 。 
qstr_The_training_went_pe|训 练 进 行 得 很 完 美 。 
qstr_{s13}_asked_you_to_r|{s13}要 你 带 着 至 少 {reg13}人 去 向 他 报 告 。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 参 加 对 {s14}的 攻 击 。 
qstr_Find_and_speak_with_|找 到 并 请 求 {s4}的 {s3}让 他 接 受 你 为 他 立 下 效 忠 的 誓 言 。 
qstr_There_has_been_an_al|有 涉 嫌 边 境 事 件 ： {s9}
qstr_your_wife_{s10}...|你 的 夫 人 ， {s10}… … 
qstr_a_prominent_citizen_|当 地 的 杰 出 人 才 … … 
qstr_^^Note_that_so_long_|^^注 意 只 要 你 还 在 做 元 帅 ， 这 个 国 家 的 领 主 们 都 会 等 着 让 你 率 领 他 们 进 行 战 役 。 所 以 ， 如 果 你 正 在 准 备 一 场 宴 会 ， 或 者 是 婚 礼 以 及 其 它 活 动 ， 你 也 许 要 去 和 你 的 领 主 谈 谈 来 辞 去 元 帅 的 职 务 。 
qstr_Breaking_camp...|终 止 宿 营 … … 
qstr_Your_party_is_spotte|你 的 部 队 被 {s1}发 现 了 。 
qstr_Party_has_nothing_to|部 队 没 有 东 西 吃 了 ！ 
qstr_{reg1}_{s1}_{reg2?ha|{reg1}个 {s1}{reg2?已 :已 }趁 着 夜 色 逃 离 了 你 的 队 伍 。 
qstr_{s1}_of_{s3}_has_bee|{s3}的 {s1}已 经 从 监 狱 里 释 放 出 来 了 。 
qstr_Building_of_{s0}_in_|{s4}的 建 筑 物 {s0}已 经 完 工 了 。 
qstr_{s1}_has_won_the_tou|{s1}赢 得 了 在 {s2}的 比 赛 。 
qstr_{s1}_is_no_longer_in|{s1}不 再 受 到 夜 间 的 强 盗 侵 扰 。 
qstr_You_pay_for_accommod|你 支 付 了 宿 金 。 
qstr_Betrothal_to_{s5}_ex|和 {s5}的 婚 约 过 期 
qstr__Your_tactics_skill_|你 的 战 术 技 能 提 高 1级 。 
qstr__Your_persuasion_ski|你 的 说 服 力 技 能 提 高 1级 。 
qstr__Your_leadership_ski|你 的 统 御 技 能 提 高 1级 。 
qstr__Your_intelligence_h|你 的 智 力 提 高 1点 。 
qstr__Your_trade_skill_ha|你 的 交 易 技 能 提 高 1级 。 
qstr__Your_weapon_master_|你 的 武 器 掌 握 技 能 提 高 1级 。 
qstr__Your_engineer_skill|你 的 工 程 学 技 能 提 高 1级 。 
qstr_You_have_finished_re|你 已 经 读 完 了 {s1}。 {s2}
qstr_Book_Read|读 书 
qstr_{s1}_is_scouted.|{s1}已 经 侦 察 过 了 。 
qstr_{s1}_has_switched_fr|{s1}由 {s2}转 到 {s3}。 
qstr_{reg65?my_Lady:my_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?My_Lady:My_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?madame:sir}|{reg65?夫 人 :先 生 }
qstr_{reg65?Madame:Sir}|{reg65?夫 人 :先 生 }
qstr__no_fiefs_|（ 没 有 封 地 ） 
qstr__fiefs:_{s0}_|（ 封 地 ： {s0}） 
qstr_It_s_your_money_or_y|要 钱 还 是 要 命 ， {小 伙 子 /小 姑 娘 }。 别 妄 动 ， 否 则 穿 你 个 透 心 凉 ， 心 飞 扬 。 
qstr_Lucky_for_you_you_ca|算 你 好 运 ， 老 子 今 天 心 情 不 错 。 把 钱 全 交 出 来 ， 饶 你 一 条 狗 命 。 
qstr_This_a_robbery_eh?_I|这 是 一 次 抢 劫 ， 明 白 不 ？ 我 给 你 一 个 机 会 交 出 你 所 有 的 东 西 ， 否 则 我 和 哥 们 儿 宰 了 你 ， 明 白 不 ？ 
qstr_we_have_made_very_li|到 目 前 为 止 ， 我 们 基 本 没 有 什 么 进 展 
qstr_we_have_suceeded_in_|我 方 成 功 占 领 了 一 些 土 地 ， 但 前 路 仍 长 
qstr_we_have_become_a_sig|我 方 已 成 气 候 ， 胜 算 均 等 。 
qstr_we_are_winning_the_w|我 军 占 优 ， 但 敌 人 仍 在 顽 抗 。 
qstr_we_are_on_the_verge_|胜 利 在 即 ， 残 敌 不 足 为 惧 ， 但 仍 需 追 击 歼 灭 。 
qstr_{playername}_when_we|{playername}， 初 启 征 途 时 ， 鲜 少 有 人 敢 支 持 我 ， 愿 为 我 的 事 业 冒 死 相 随 者 更 是 少 之 又 少 。 但 你 毫 不 犹 豫 地 扑 向 敌 人 。 我 们 共 经 风 雨 ， 我 曾 几 乎 绝 望 ， 但 天 助 我 等 ， 终 获 胜 利 。 现 我 须 离 开 你 的 身 旁 ， 去 争 取 属 于 我 的 一 切 。 从 今 往 后 ， 我 将 担 负 起 统 治 {s3}的 重 任 。 前 路 险 阻 犹 存 ， 望 你 继 续 助 我 克 难 。 当 然 ， 你 永 远 是 我 最 重 要 的 封 臣 。 
qstr__We_will_of_course_n|当 然 ， 我 们 需 等 王 国 结 束 战 事 。 
qstr_I_am_{s4}_the_ruler_|我 是 {s4}， {s6}的 统 治 者 。 
qstr_I_am_{s4}_a_vassal_o|我 是 {s4}， {s6}的 一 个 封 臣 。 
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?而 且 是 {s8}的 领 主 。 :。 }
qstr_{s13}_asked_you_to_g|{s13}要 你 收 集 {reg3}头 牛 ， 并 给 他 送 去 。 
qstr_{s9}_asked_you_to_sc|{s9}要 你 侦 察 {s13}， {s14}和 {s15}， 然 后 回 去 向 他 汇 报 。 
qstr_you|你 
qstr_You_are_challenging_|你 准 备 向 我 发 起 决 斗 ？ 开 什 么 玩 笑 ！ 如 你 所 愿 ， {playername}， 打 暴 你 的 头 将 会 是 非 常 有 意 思 的 事 情 。 
qstr_{s16}_and_{s17}|{s16}和 {s17}
qstr_Very_well_I_will_acc|很 好 ， 如 果 你 再 次 庄 严 地 向 我 宣 誓 ， 我 可 以 接 受 你 回 到 我 这 边 来 。 
qstr_A_pardon_will_only_b|我 不 会 宽 恕 你 的 ， 除 非 你 把 {s17}割 让 给 我 。 你 同 意 我 开 出 的 条 件 吗 ？ 
qstr_No._There_is_no_chan|不 ， 我 们 之 间 没 有 机 会 保 持 和 平 ， 我 对 这 个 不 感 兴 趣 。 
qstr_Our_marshal_{s1}|我 们 的 元 帅 ， {s1}
qstr_{s11}_and_{s12}|{s11}和 {s12}
qstr_We_are_not_at_war_wi|我 们 未 与 任 何 势 力 开 战 。 
qstr_We_are_at_war_with_{|我 们 正 在 与 {s12}交 战 。 
qstr_go_on_the_offensive_|马 上 去 进 攻 。 
qstr_act_to_defend_our_la|进 行 领 土 保 卫 。 
qstr_take_more_time_to_ga|多 花 点 时 间 来 集 结 军 队 。 
qstr_You_promised_to_help|你 答 应 帮 助 {s13}取 得 {s14}的 王 位 。 
qstr_What_do_you_say_to_e|愿 意 担 任 {s9}的 雇 佣 军 团 长 吗 ？ 你 必 定 胜 任 此 职 。 
qstr_{s9}_asked_you_to_ta|{s9}要 你 带 一 个 口 信 给 {s13}。 在 你 接 受 这 个 任 务 的 时 候 ， {s13}确 信 在 {s4}。 
qstr_{s9}_asked_you_to_tak|{s9}要 你 带 一 个 从 {s15}那 里 得 到 口 信 给 {s13}。 在 你 接 受 这 个 任 务 的 时 候 ， {s13}确 信 在 {s4}。 
qstr_{s11}_asked_you_to_e|{s11}要 你 护 送 他 的 {s17}{s13}到 {s14}。 
qstr_{s13}_asked_you_to_d|{s13}要 你 对 付 那 些 侵 占 了 {s15}村 避 难 所 的 强 盗 ， 并 返 回 向 他 报 告 情 况 。 
qstr_{s9}_asked_you_to_ra|{s9}要 求 帮 他 培 养 {reg1}名 {s14}， 并 给 他 送 去 。 
qstr_{s9}_asked_you_to_co|{s9}要 你 去 {s3}征 税 。 他 答 应 你 征 收 的 税 款 中 的 20% 归 你 所 得 。 
qstr_{s9}_asked_you_to_hu|{s9}要 你 抓 捕 名 叫 {s4}的 通 缉 犯 。 他 现 在 确 信 在 {s3}。 
qstr_{s9}_asked_you_to_as|{s9}要 你 杀 死 一 个 {s3}的 地 方 商 人 。 
qstr_{s9}_has_asked_you_t|{s9}要 你 到 {s13}见 一 个 间 谍 。 
qstr_{s11}_asked_you_to_f|{s11}要 你 跟 踪 将 要 离 开 {s12}的 间 谍 。 你 必 须 小 心 ， 别 让 他 在 半 路 发 现 你 ， 否 则 他 可 能 会 起 疑 心 并 折 返 回 去 。 一 旦 他 与 他 的 同 伙 碰 头 ， 你 得 伏 击 他 们 并 把 他 们 两 人 带 回 去 交 给 {s11}。 
