trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色　
trp_knight_4_15|雷 耶 克 雅 尔　
trp_knight_4_15_pl|雷 耶 克　
trp_knight_4_16|迪 里 刚 雅 尔　
trp_knight_4_16_pl|迪 里 刚　
trp_knight_4_17|马 拉 伊 尔 雅 尔　
trp_knight_4_17_pl|马 拉 伊 尔　
trp_knight_4_18|吉 尔 斯 雅 尔　
trp_knight_4_18_pl|吉 尔 斯　
trp_knight_4_19|索 尔 顿 雅 尔　
trp_knight_4_19_pl|索 尔 顿　
trp_knight_4_20|杰 拉 德 雅 尔　
trp_knight_4_20_pl|杰 拉 德　
trp_knight_5_1|马 蒂 亚 斯 伯 爵　
trp_knight_5_1_pl|马 蒂 亚 斯　
trp_knight_5_2|古 特 兰 斯 伯 爵　
trp_knight_5_2_pl|古 特 兰 斯　
trp_knight_5_3|拉 鲁 肯 伯 爵　
trp_knight_5_3_pl|拉 鲁 肯　
trp_knight_5_4|莱 克 斯 伯 爵　
trp_knight_5_4_pl|莱 克 斯　
trp_knight_5_5|雷 兰 德 伯 爵　
trp_knight_5_5_pl|雷 兰 德　
trp_knight_5_6|塔 基 亚 斯 伯 爵　
trp_knight_5_6_pl|塔 基 亚 斯　
trp_knight_5_7|加 尔 马 尔 伯 爵　
trp_knight_5_7_pl|加 尔 马 尔　
trp_knight_5_8|塔 尔 巴 伯 爵　
trp_knight_5_8_pl|塔 尔 巴　
trp_knight_5_9|里 穆 斯 克 伯 爵　
trp_knight_5_9_pl|里 穆 斯 克　
trp_knight_5_10|法 尔 塞 弗 伯 爵　
trp_knight_5_10_pl|法 尔 塞 弗　
trp_knight_5_11|艾 特 罗 斯 克 伯 爵　
trp_knight_5_11_pl|艾 特 罗 斯 克　
trp_knight_5_12|库 尼 亚 斯 伯 爵　
trp_knight_5_12_pl|库 尼 亚 斯　
trp_knight_5_13|泰 罗 格 伯 爵　
trp_knight_5_13_pl|泰 罗 格　
trp_knight_5_14|特 里 比 丹 伯 爵　
trp_knight_5_14_pl|特 里 比 丹　
trp_knight_5_15|加 鲁 克 斯 伯 爵　
trp_knight_5_15_pl|加 鲁 克 斯　
trp_knight_5_16|弗 德 利 穆 伯 爵　
trp_knight_5_16_pl|弗 德 利 穆　
trp_knight_5_17|尼 尔 卡 伯 爵　
trp_knight_5_17_pl|尼 尔 卡　
trp_knight_5_18|弗 莱 金 伯 爵　
trp_knight_5_18_pl|弗 金 金　
trp_knight_5_19|特 里 姆 鲍 伯 爵　
trp_knight_5_19_pl|特 里 姆 鲍　
trp_knight_5_20|瑞 克 森 伯 爵　
trp_knight_5_20_pl|瑞 克 森　
trp_knight_6_1|乌 凯 斯 酋 长　
trp_knight_6_1_pl|乌 凯 斯　
trp_knight_6_2|哈 么 赞 酋 长　
trp_knight_6_2_pl|哈 么 赞　
trp_knight_6_3|阿 提 斯 酋 长　
trp_knight_6_3_pl|阿 提 斯　
trp_knight_6_4|努 瓦 斯 酋 长　
trp_knight_6_4_pl|努 瓦 斯　
trp_knight_6_5|蒙 达 利 尔 酋 长　
trp_knight_6_5_pl|蒙 达 利 尔　
trp_knight_6_6|哈 纳 瓦 酋 长　
trp_knight_6_6_pl|哈 纳 瓦　
trp_knight_6_7|努 阿 姆 酋 长　
trp_knight_6_7_pl|努 阿 姆　
trp_knight_6_8|迪 尤 尔 酋 长　
trp_knight_6_8_pl|迪 尤 尔　
trp_knight_6_9|拉 赫 姆 酋 长　
trp_knight_6_9_pl|拉 赫 姆　
trp_knight_6_10|胡 拉 森 酋 长　
trp_knight_6_10_pl|胡 拉 森　
trp_knight_6_11|阿 扎 顿 酋 长　
trp_knight_6_11_pl|阿 扎 顿　
trp_knight_6_12|库 尔 亚 斯 酋 长　
trp_knight_6_12_pl|库 尔 亚 斯　
trp_knight_6_13|阿 姆 达 酋 长　
trp_knight_6_13_pl|阿 姆 达　
trp_knight_6_14|希 万 酋 长　
trp_knight_6_14_pl|希 万　
trp_knight_6_15|穆 尼 尔 酋 长　
trp_knight_6_15_pl|穆 尼 尔　
trp_knight_6_16|阿 亚 姆 酋 长　
trp_knight_6_16_pl|阿 亚 姆　
trp_knight_6_17|拉 顿 酋 长　
trp_knight_6_17_pl|拉 顿　
trp_knight_6_18|提 里 姆 桑 酋 长　
trp_knight_6_18_pl|提 里 姆 桑　
trp_knight_6_19|达 什 瓦 尔 酋 长　
trp_knight_6_19_pl|达 什 万 尔　
trp_knight_6_20|比 力 亚 酋 长　
trp_knight_6_20_pl|比 力 亚　
trp_kingdom_1_pretender|苏 诺 的 伊 索 拉 夫 人　
trp_kingdom_1_pretender_pl|伊 索 拉　
trp_kingdom_2_pretender|私 生 子 瓦 尔 迪 姆 王 子　
trp_kingdom_2_pretender_pl|瓦 尔 迪 姆　
trp_kingdom_3_pretender|达 斯 塔 姆 可 汗　
trp_kingdom_3_pretender_pl|达 斯 塔 姆　
trp_kingdom_4_pretender|远 行 者 勒 斯 汶　
trp_kingdom_4_pretender_pl|勒 斯 汶　
trp_kingdom_5_pretender|维 鲁 加 的 凯 斯 托 领 主　
trp_kingdom_5_pretender_pl|凯 斯 托　
trp_kingdom_6_pretender|珍 珠 之 光 阿 尔 瓦　
trp_kingdom_6_pretender_pl|阿 尔 瓦　
trp_knight_1_1_wife|knight 1 1 wife
trp_knight_1_1_wife_pl|knight 1 1 wife
trp_kingdom_1_lady_1|安 娜 女 士　
trp_kingdom_1_lady_1_pl|安 娜　
trp_kingdom_1_lady_2|奈 尔 达 女 士　
trp_kingdom_1_lady_2_pl|奈 尔 达　
trp_knight_1_lady_3|贝 拉 女 士　
trp_knight_1_lady_3_pl|贝 拉　
trp_knight_1_lady_4|艾 丽 娜 女 士　
trp_knight_1_lady_4_pl|艾 丽 娜　
trp_kingdom_l_lady_5|康 丝 丹 妮 斯 女 士　
trp_kingdom_l_lady_5_pl|康 丝 丹 妮 斯　
trp_kingdom_1_lady_6|维 拉 女 士　
trp_kingdom_1_lady_6_pl|维 拉　
trp_kingdom_1_lady_7|奥 贝 丽 娜 女 士　
trp_kingdom_1_lady_7_pl|奥 贝 丽 娜　
trp_kingdom_1_lady_8|缇 宝 尔 女 士　
trp_kingdom_1_lady_8_pl|缇 宝 尔　
trp_kingdom_1_lady_9|玛 盖 尔 女 士　
trp_kingdom_1_lady_9_pl|玛 盖 尔　
trp_kingdom_1_lady_10|哲 朵 莎 女 士　
trp_kingdom_1_lady_10_pl|哲 朵 莎　
trp_kingdom_1_lady_11|梅 丽 莎 女 士　
trp_kingdom_1_lady_11_pl|梅 丽 莎　
trp_kingdom_1_lady_12|依 瑞 纳 女 士　
trp_kingdom_1_lady_12_pl|依 瑞 纳　
trp_kingdom_l_lady_13|菲 丽 娜 女 士　
trp_kingdom_l_lady_13_pl|菲 丽 娜　
trp_kingdom_1_lady_14|索 娜 德 女 士　
trp_kingdom_1_lady_14_pl|索 娜 德　
trp_kingdom_1_lady_15|波 迪 拉 女 士　
trp_kingdom_1_lady_15_pl|波 迪 拉　
trp_kingdom_1_lady_16|爱 丽 丝 女 士　
trp_kingdom_1_lady_16_pl|爱 丽 丝　
trp_kingdom_1_lady_17|乔 安 娜 女 士　
trp_kingdom_1_lady_17_pl|乔 安 娜　
trp_kingdom_1_lady_18|伯 纳 蒂 斯 女 士　
trp_kingdom_1_lady_18_pl|伯 纳 蒂 斯　
trp_kingdom_1_lady_19|安 瑞 卡 塔 女 士　
trp_kingdom_1_lady_19_pl|安 瑞 卡 塔　
trp_kingdom_1_lady_20|佳 艾 塔 女 士　
trp_kingdom_1_lady_20_pl|佳 艾 塔　
trp_kingdom_2_lady_1|朱 妮 莎 女 士　
trp_kingdom_2_lady_1_pl|朱 妮 莎　
trp_kingdom_2_lady_2|凯 提 亚 女 士　
trp_kingdom_2_lady_2_pl|凯 提 亚　
trp_kingdom_2_lady_3|瑟 欧 密 斯 女 士　
trp_kingdom_2_lady_3_pl|瑟 欧 密 斯　
trp_kingdom_2_lady_4|德 瑞 娜 女 士　
trp_kingdom_2_lady_4_pl|德 瑞 娜　
trp_kingdom_2_lady_5|内 莎 女 士　
trp_kingdom_2_lady_5_pl|内 莎　
trp_kingdom_2_lady_6|塔 芭 丝 女 士　
trp_kingdom_2_lady_6_pl|塔 芭 丝　
trp_kingdom_2_lady_7|佩 莱 卡 女 士　
trp_kingdom_2_lady_7_pl|佩 莱 卡　
trp_kingdom_2_lady_8|海 瑞 丝 女 士　
trp_kingdom_2_lady_8_pl|海 瑞 丝　
trp_kingdom_2_lady_9|法 耶 恩 女 士　
trp_kingdom_2_lady_9_pl|法 耶 恩　
trp_kingdom_2_lady_10|约 卡 女 士　
trp_kingdom_2_lady_10_pl|约 卡　
trp_kingdom_2_lady_11|特 吉 娜 女 士　
trp_kingdom_2_lady_11_pl|特 吉 娜　
trp_kingdom_2_lady_12|奥 克 莎 女 士　
trp_kingdom_2_lady_12_pl|奥 克 莎　
trp_kingdom_2_lady_13|明 莎 女 士　
trp_kingdom_2_lady_13_pl|明 莎　
trp_kingdom_2_lady_14|阿 吉 丽 娜 女 士　
trp_kingdom_2_lady_14_pl|阿 吉 丽 娜　
trp_kingdom_2_lady_15|瑟 帕 纳 女 士　
trp_kingdom_2_lady_15_pl|瑟 帕 纳　
trp_kingdom_2_lady_16|艾 瑞 纳 女 士　
trp_kingdom_2_lady_16_pl|艾 瑞 纳　
trp_kingdom_2_lady_17|西 哈 万 女 士　
trp_kingdom_2_lady_17_pl|西 哈 万　
trp_kingdom_2_lady_18|艾 瑞 琦 娜 女 士　
trp_kingdom_2_lady_18_pl|艾 瑞 琦 娜　
trp_kingdom_2_lady_19|塔 玛 女 士　
trp_kingdom_2_lady_19_pl|塔 玛　
trp_kingdom_2_lady_20|沃 卡 女 士　
trp_kingdom_2_lady_20_pl|沃 卡　
trp_kingdom_3_lady_1|保 格 女 士　
trp_kingdom_3_lady_1_pl|保 格　
trp_kingdom_3_lady_2|图 安 女 士　
trp_kingdom_3_lady_2_pl|图 安　
trp_kingdom_3_lady_3|玛 拉 兹 女 士　
trp_kingdom_3_lady_3_pl|玛 拉 兹　
trp_kingdom_3_lady_4|阿 娅 苏 女 士　
trp_kingdom_3_lady_4_pl|阿 娅 苏　
trp_kingdom_3_lady_5|拉 雯 女 士　
trp_kingdom_3_lady_5_pl|拉 雯　
trp_kingdom_3_lady_6|露 哈 女 士　
trp_kingdom_3_lady_6_pl|露 哈　
trp_kingdom_3_lady_7|科 迪 娜 女 士　
trp_kingdom_3_lady_7_pl|科 迪 娜　
trp_kingdom_3_lady_8|凯 弗 拉 女 士　
trp_kingdom_3_lady_8_pl|凯 弗 拉　
trp_kingdom_3_lady_9|妮 尔 瓦 兹 女 士　
trp_kingdom_3_lady_9_pl|妮 尔 瓦 兹　
trp_kingdom_3_lady_10|杜 露 阿 女 士　
trp_kingdom_3_lady_10_pl|杜 露 阿　
trp_kingdom_3_lady_11|塞 丽 科 女 士　
trp_kingdom_3_lady_11_pl|赛 丽 科　
trp_kingdom_3_lady_12|塔 拉 萨 女 士　
trp_kingdom_3_lady_12_pl|塔 拉 萨　
trp_kingdom_3_lady_13|雅 斯 琳 女 士　
trp_kingdom_3_lady_13_pl|雅 斯 琳　
trp_kingdom_3_lady_14|娜 哈 女 士　
trp_kingdom_3_lady_14_pl|娜 哈　
trp_kingdom_3_lady_15|泽 努 女 士　
trp_kingdom_3_lady_15_pl|泽 努　
trp_kingdom_3_lady_16|阿 吉 斯 女 士　
trp_kingdom_3_lady_16_pl|泽 努　
trp_kingdom_3_lady_17|阿 娅 汗 女 士　
trp_kingdom_3_lady_17_pl|阿 娅 汗　
trp_kingdom_3_lady_18|库 塔 拉 女 士　
trp_kingdom_3_lady_18_pl|库 塔 拉　
trp_kingdom_3_lady_19|辛 黛 尔 女 士　
trp_kingdom_3_lady_19_pl|辛 黛 尔　
trp_kingdom_3_lady_20|玛 歇 特 女 士　
trp_kingdom_3_lady_20_pl|玛 歇 特　
trp_kingdom_4_lady_1|佳 德 丝 女 士　
trp_kingdom_4_lady_1_pl|佳 德 丝　
trp_kingdom_4_lady_2|米 娅 女 士　
trp_kingdom_4_lady_2_pl|米 娅　
trp_kingdom_4_lady_3|德 里 娜 女 士　
trp_kingdom_4_lady_3_pl|德 里 娜　
trp_kingdom_4_lady_4|格 伦 德 女 士　
trp_kingdom_4_lady_4_pl|格 伦 德　
trp_kingdom_4_lady_5|洛 卡 女 士　
trp_kingdom_4_lady_5_pl|洛 卡　
trp_kingdom_4_lady_6|布 林 女 士　
trp_kingdom_4_lady_6_pl|布 林　
trp_kingdom_4_lady_7|艾 尔 女 士　
trp_kingdom_4_lady_7_pl|艾 尔　
trp_knight_4_2b_daughter_1|赛 拉 女 士　
trp_knight_4_2b_daughter_1_pl|赛 拉　
trp_kingdom_4_lady_9|希 尔 德 女 士　
trp_kingdom_4_lady_9_pl|希 尔 德　
trp_knight_4_2c_wife_1|恩 德 格 瑞 德 女 士　
trp_knight_4_2c_wife_1_pl|恩 德 格 瑞 德　
trp_kingdom_4_lady_11|赫 尔 亚 萨 女 士　
trp_kingdom_4_lady_11_pl|赫 尔 亚 萨　
trp_knight_4_2c_daughter|丝 薇 普 女 士　
trp_knight_4_2c_daughter_pl|丝 薇 普　
trp_knight_4_1b_wife|英 甘 恩 女 士　
trp_knight_4_1b_wife_pl|英 甘 恩　
trp_kingdom_4_lady_14|卡 特 丽 女 士　
trp_kingdom_4_lady_14_pl|卡 特 丽　
trp_knight_4_1b_daughter|埃 丽 芙 女 士　
trp_knight_4_1b_daughter_pl|埃 丽 芙　
trp_knight_4_2b_daughter_2|古 德 伦 女 士　
trp_knight_4_2b_daughter_2_pl|古 德 伦　
trp_kingdom_4_lady_17|波 吉 特 女 士　
trp_kingdom_4_lady_17_pl|波 吉 特　
trp_knight_4_2c_wife_2|艾 莎 女 士　
trp_knight_4_2c_wife_2_pl|艾 莎　
trp_knight_4_1c_daughter|阿 尔 弗 伦 女 士　
trp_knight_4_1c_daughter_pl|阿 尔 弗 伦　
trp_kingdom_4_lady_20|阿 弗 瑞 德 女 士　
trp_kingdom_4_lady_20_pl|阿 弗 瑞 德　
trp_kingdom_5_lady_1|布 瑞 娜 女 士　
trp_kingdom_5_lady_1_pl|布 瑞 娜　
trp_kingdom_5_lady_2|阿 琳 娜 女 士　
trp_kingdom_5_lady_2_pl|阿 琳 娜　
trp_kingdom_5_lady_3|阿 内 丝 女 士　
trp_kingdom_5_lady_3_pl|阿 内 丝　
trp_kingdom_5_lady_4|瑞 达 女 士　
trp_kingdom_5_lady_4_pl|瑞 达　
trp_kingdom_5_5_wife|萨 拉 藤 女 士　
trp_kingdom_5_5_wife_pl|萨 拉 藤　
trp_kingdom_5_2b_wife_1|波 茜 娅 女 士　
trp_kingdom_5_2b_wife_1_pl|波 茜 娅　
trp_kingdom_5_1c_daughter_1|埃 莉 安 德 拉 女 士　
trp_kingdom_5_1c_daughter_1_pl|埃 莉 安 德 拉　
trp_kingdom_5_2c_daughter_1|梅 拉 赛 德 女 士　
trp_kingdom_5_2c_daughter_1_pl|梅 拉 赛 德　
trp_kingdom_5_1c_wife_1|艾 德 丽 萨 女 士　
trp_kingdom_5_1c_wife_1_pl|艾 德 丽 萨　
trp_kingdom_5_2c_wife_1|卡 兰 缇 娜 女 士　
trp_kingdom_5_2c_wife_1_pl|卡 兰 缇 娜　
trp_kingdom_5_1c_daughter_2|弗 贝 萨 女 士　
trp_kingdom_5_1c_daughter_2_pl|弗 贝 萨　
trp_kingdom_5_2c_daughter_2|克 劳 多 拉 女 士　
trp_kingdom_5_2c_daughter_2_pl|克 劳 多 拉　
trp_kingdom_5_1b_wife|安 娜 丝 女 士　
trp_kingdom_5_1b_wife_pl|安 娜 丝　
trp_kingdom_5_2b_wife_2|密 瑞 雅 女 士　
trp_kingdom_5_2b_wife_2_pl|密 瑞 雅　
trp_kingdom_5_1c_daughter_3|阿 加 希 亚 女 士　
trp_kingdom_5_1c_daughter_3_pl|阿 加 希 亚　
trp_kingdom_5_lady_16|吉 尼 瓦 女 士　
trp_kingdom_5_lady_16_pl|吉 尼 瓦　
trp_kingdom_5_1c_wife_2|格 温 内 尔 女 士　
trp_kingdom_5_1c_wife_2_pl|格 温 内 尔　
trp_kingdom_5_2c_wife_2|依 苏 思 女 士　
trp_kingdom_5_2c_wife_2_pl|依 苏 思　
trp_kingdom_5_1c_daughter_4|伊 莲 女 士　
trp_kingdom_5_1c_daughter_4_pl|伊 莲　
trp_kingdom_5_lady_20|蒂 梅 茜 女 士　
trp_kingdom_5_lady_20_pl|蒂 梅 茜　
trp_kingdom_6_lady_1|瑞 玛 女 士　
trp_kingdom_6_lady_1_pl|瑞 玛　
trp_kingdom_6_lady_2|泽 内 卡 女 士　
trp_kingdom_6_lady_2_pl|泽 内 卡　
trp_kingdom_6_lady_3|苏 拉 哈 女 士　
trp_kingdom_6_lady_3_pl|苏 拉 哈　
trp_kingdom_6_lady_4|莎 萨 女 士　
trp_kingdom_6_lady_4_pl|莎 萨　
trp_kingdom_6_lady_5|鲍 珊 女 士　
trp_kingdom_6_lady_5_pl|鲍 珊　
trp_kingdom_6_lady_6|玛 哈 伊 女 士　
trp_kingdom_6_lady_6_pl|玛 哈 伊　
trp_kingdom_6_lady_7|伊 斯 纳 女 士　
trp_kingdom_6_lady_7_pl|伊 斯 纳　
trp_kingdom_6_lady_8|斯 娅 凡 女 士　
trp_kingdom_6_lady_8_pl|斯 娅 凡　
trp_kingdom_6_lady_9|伊 法 女 士　
trp_kingdom_6_lady_9_pl|伊 法　
trp_kingdom_6_lady_10|雅 思 敏 女 士　
trp_kingdom_6_lady_10_pl|雅 思 敏　
trp_kingdom_6_lady_11|杜 拉 女 士　
trp_kingdom_6_lady_11_pl|杜 拉　
trp_kingdom_6_lady_12|鲁 瓦 女 士　
trp_kingdom_6_lady_12_pl|鲁 瓦　
trp_kingdom_6_lady_13|露 卡 女 士　
trp_kingdom_6_lady_13_pl|露 卡　
trp_kingdom_6_lady_14|赞 迪 娜 女 士　
trp_kingdom_6_lady_14_pl|赞 迪 娜　
trp_kingdom_6_lady_15|露 莉 娅 女 士　
trp_kingdom_6_lady_15_pl|露 莉 娅　
trp_kingdom_6_lady_16|扎 哈 拉 女 士　
trp_kingdom_6_lady_16_pl|扎 哈 拉　
trp_kingdom_6_lady_17|萨 菲 亚 女 士　
trp_kingdom_6_lady_17_pl|萨 菲 亚　
trp_kingdom_6_lady_18|卡 丽 萨 女 士　
trp_kingdom_6_lady_18_pl|卡 丽 萨　
trp_kingdom_6_lady_19|佳 娜 布 女 士　
trp_kingdom_6_lady_19_pl|佳 娜 布　
trp_kingdom_6_lady_20|苏 尔 女 士　
trp_kingdom_6_lady_20_pl|苏 尔　
trp_town_1_arena_master|竞 技 场 老 板　
trp_town_2_arena_master|竞 技 场 老 板　
trp_town_3_arena_master|竞 技 场 老 板　
trp_town_4_arena_master|竞 技 场 老 板　
trp_town_5_arena_master|竞 技 场 老 板　
trp_town_6_arena_master|竞 技 场 老 板　
trp_town_7_arena_master|竞 技 场 老 板　
trp_town_8_arena_master|竞 技 场 老 板　
trp_town_9_arena_master|竞 技 场 老 板　
trp_town_10_arena_master|竞 技 场 老 板　
trp_town_11_arena_master|竞 技 场 老 板　
trp_town_12_arena_master|竞 技 场 老 板　
trp_town_13_arena_master|竞 技 场 老 板　
trp_town_14_arena_master|竞 技 场 老 板　
trp_town_15_arena_master|竞 技 场 老 板　
trp_town_16_arena_master|竞 技 场 老 板　
trp_town_17_arena_master|竞 技 场 老 板　
trp_town_18_arena_master|竞 技 场 老 板　
trp_town_19_arena_master|竞 技 场 老 板　
trp_town_20_arena_master|竞 技 场 老 板　
trp_town_21_arena_master|竞 技 场 老 板　
trp_town_22_arena_master|竞 技 场 老 板　
trp_town_1_armorer|防 具 商 人　
trp_town_2_armorer|防 具 商 人　
trp_town_3_armorer|防 具 商 人　
trp_town_4_armorer|防 具 商 人　
trp_town_5_armorer|防 具 商 人　
trp_town_6_armorer|防 具 商 人　
trp_town_7_armorer|防 具 商 人　
trp_town_8_armorer|防 具 商 人　
trp_town_9_armorer|防 具 商 人　
trp_town_10_armorer|防 具 商 人　
trp_town_11_armorer|防 具 商 人　
trp_town_12_armorer|防 具 商 人　
trp_town_13_armorer|防 具 商 人　
trp_town_14_armorer|防 具 商 人　
trp_town_15_armorer|防 具 商 人　
trp_town_16_armorer|防 具 商 人　
trp_town_17_armorer|防 具 商 人　
trp_town_18_armorer|防 具 商 人　
trp_town_19_armorer|防 具 商 人　
trp_town_20_armorer|防 具 商 人　
trp_town_21_armorer|防 具 商 人　
trp_town_22_armorer|防 具 商 人　
trp_town_1_weaponsmith|武 器 商 人　
trp_town_2_weaponsmith|武 器 商 人　
trp_town_3_weaponsmith|武 器 商 人　
trp_town_4_weaponsmith|武 器 商 人　
trp_town_5_weaponsmith|武 器 商 人　
trp_town_6_weaponsmith|武 器 商 人　
trp_town_7_weaponsmith|武 器 商 人　
trp_town_8_weaponsmith|武 器 商 人　
trp_town_9_weaponsmith|武 器 商 人　
trp_town_10_weaponsmith|武 器 商 人　
trp_town_11_weaponsmith|武 器 商 人　
trp_town_12_weaponsmith|武 器 商 人　
trp_town_13_weaponsmith|武 器 商 人　
trp_town_14_weaponsmith|武 器 商 人　
trp_town_15_weaponsmith|武 器 商 人　
trp_town_16_weaponsmith|武 器 商 人　
trp_town_17_weaponsmith|武 器 商 人　
trp_town_18_weaponsmith|武 器 商 人　
trp_town_19_weaponsmith|武 器 商 人　
trp_town_20_weaponsmith|武 器 商 人　
trp_town_21_weaponsmith|武 器 商 人　
trp_town_22_weaponsmith|武 器 商 人　
trp_town_1_tavernkeeper|酒 馆 老 板　
trp_town_2_tavernkeeper|酒 馆 老 板　
trp_town_3_tavernkeeper|酒 馆 老 板　
trp_town_4_tavernkeeper|酒 馆 老 板　
trp_town_5_tavernkeeper|酒 馆 老 板　
trp_town_6_tavernkeeper|酒 馆 老 板　
trp_town_7_tavernkeeper|酒 馆 老 板　
trp_town_8_tavernkeeper|酒 馆 老 板　
trp_town_9_tavernkeeper|酒 馆 老 板　
trp_town_10_tavernkeeper|酒 馆 老 板　
trp_town_11_tavernkeeper|酒 馆 老 板　
trp_town_12_tavernkeeper|酒 馆 老 板　
trp_town_13_tavernkeeper|酒 馆 老 板　
trp_town_14_tavernkeeper|酒 馆 老 板　
trp_town_15_tavernkeeper|酒 馆 老 板　
trp_town_16_tavernkeeper|酒 馆 老 板　
trp_town_17_tavernkeeper|酒 馆 老 板　
trp_town_18_tavernkeeper|酒 馆 老 板　
trp_town_19_tavernkeeper|酒 馆 老 板　
trp_town_20_tavernkeeper|酒 馆 老 板　
trp_town_21_tavernkeeper|酒 馆 老 板　
trp_town_22_tavernkeeper|酒 馆 老 板　
trp_town_1_merchant|杂 货 商 人　
trp_town_2_merchant|杂 货 商 人　
trp_town_3_merchant|杂 货 商 人　
trp_town_4_merchant|杂 货 商 人　
trp_town_5_merchant|杂 货 商 人　
trp_town_6_merchant|杂 货 商 人　
trp_town_7_merchant|杂 货 商 人　
trp_town_8_merchant|杂 货 商 人　
trp_town_9_merchant|杂 货 商 人　
trp_town_10_merchant|杂 货 商 人　
trp_town_11_merchant|杂 货 商 人　
trp_town_12_merchant|杂 货 商 人　
trp_town_13_merchant|杂 货 商 人　
trp_town_14_merchant|杂 货 商 人　
trp_town_15_merchant|杂 货 商 人　
trp_town_16_merchant|杂 货 商 人　
trp_town_17_merchant|杂 货 商 人　
trp_town_18_merchant|杂 货 商 人　
trp_town_19_merchant|杂 货 商 人　
trp_town_20_merchant|杂 货 商 人　
trp_town_21_merchant|杂 货 商 人　
trp_town_22_merchant|杂 货 商 人　
trp_salt_mine_merchant|巴 瑞 赞　
trp_salt_mine_merchant_pl|巴 瑞 赞　
trp_town_1_horse_merchant|马 匹 贩 子　
trp_town_2_horse_merchant|马 匹 贩 子　
trp_town_3_horse_merchant|马 匹 贩 子　
trp_town_4_horse_merchant|马 匹 贩 子　
trp_town_5_horse_merchant|马 匹 贩 子　
trp_town_6_horse_merchant|马 匹 贩 子　
trp_town_7_horse_merchant|马 匹 贩 子　
trp_town_8_horse_merchant|马 匹 贩 子　
trp_town_9_horse_merchant|马 匹 贩 子　
trp_town_10_horse_merchant|马 匹 贩 子　
trp_town_11_horse_merchant|马 匹 贩 子　
trp_town_12_horse_merchant|马 匹 贩 子　
trp_town_13_horse_merchant|马 匹 贩 子　
trp_town_14_horse_merchant|马 匹 贩 子　
trp_town_15_horse_merchant|马 匹 贩 子　
trp_town_16_horse_merchant|马 匹 贩 子　
trp_town_17_horse_merchant|马 匹 贩 子　
trp_town_18_horse_merchant|马 匹 贩 子　
trp_town_19_horse_merchant|马 匹 贩 子　
trp_town_20_horse_merchant|马 匹 贩 子　
trp_town_21_horse_merchant|马 匹 贩 子　
trp_town_22_horse_merchant|马 匹 贩 子　
trp_town_1_mayor|行 会 会 长　
trp_town_2_mayor|行 会 会 长　
trp_town_3_mayor|行 会 会 长　
trp_town_4_mayor|行 会 会 长　
trp_town_5_mayor|行 会 会 长　
trp_town_6_mayor|行 会 会 长　
trp_town_7_mayor|行 会 会 长　
trp_town_8_mayor|行 会 会 长　
trp_town_9_mayor|行 会 会 长　
trp_town_10_mayor|行 会 会 长　
trp_town_11_mayor|行 会 会 长　
trp_town_12_mayor|行 会 会 长　
trp_town_13_mayor|行 会 会 长　
trp_town_14_mayor|行 会 会 长　
trp_town_15_mayor|行 会 会 长　
trp_town_16_mayor|行 会 会 长　
trp_town_17_mayor|行 会 会 长　
trp_town_18_mayor|行 会 会 长　
trp_town_19_mayor|行 会 会 长　
trp_town_20_mayor|行 会 会 长　
trp_town_21_mayor|行 会 会 长　
trp_town_22_mayor|行 会 会 长　
trp_village_1_elder|村 落 长 老　
trp_village_2_elder|村 落 长 老　
trp_village_3_elder|村 落 长 老　
trp_village_4_elder|村 落 长 老　
trp_village_5_elder|村 落 长 老　
trp_village_6_elder|村 落 长 老　
trp_village_7_elder|村 落 长 老　
trp_village_8_elder|村 落 长 老　
trp_village_9_elder|村 落 长 老　
trp_village_10_elder|村 落 长 老　
trp_village_11_elder|村 落 长 老　
trp_village_12_elder|村 落 长 老　
trp_village_13_elder|村 落 长 老　
trp_village_14_elder|村 落 长 老　
trp_village_15_elder|村 落 长 老　
trp_village_16_elder|村 落 长 老　
trp_village_17_elder|村 落 长 老　
trp_village_18_elder|村 落 长 老　
trp_village_19_elder|村 落 长 老　
trp_village_20_elder|村 落 长 老　
trp_village_21_elder|村 落 长 老　
trp_village_22_elder|村 落 长 老　
trp_village_23_elder|村 落 长 老　
trp_village_24_elder|村 落 长 老　
trp_village_25_elder|村 落 长 老　
trp_village_26_elder|村 落 长 老　
trp_village_27_elder|村 落 长 老　
trp_village_28_elder|村 落 长 老　
trp_village_29_elder|村 落 长 老　
trp_village_30_elder|村 落 长 老　
trp_village_31_elder|村 落 长 老　
trp_village_32_elder|村 落 长 老　
trp_village_33_elder|村 落 长 老　
trp_village_34_elder|村 落 长 老　
trp_village_35_elder|村 落 长 老　
trp_village_36_elder|村 落 长 老　
trp_village_37_elder|村 落 长 老　
trp_village_38_elder|村 落 长 老　
trp_village_39_elder|村 落 长 老　
trp_village_40_elder|村 落 长 老　
trp_village_41_elder|村 落 长 老　
trp_village_42_elder|村 落 长 老　
trp_village_43_elder|村 落 长 老　
trp_village_44_elder|村 落 长 老　
trp_village_45_elder|村 落 长 老　
trp_village_46_elder|村 落 长 老　
trp_village_47_elder|村 落 长 老　
trp_village_48_elder|村 落 长 老　
trp_village_49_elder|村 落 长 老　
trp_village_50_elder|村 落 长 老　
trp_village_51_elder|村 落 长 老　
